nm9391977,Mohadeseh Heyrat,Mohadeseh Heyrat,,"Mohadeseh Heyrat is an actress, known for Ev (2017), Qaban (2020) and Pasio (2018).",,,,,,,,,0,0,0,0
nm9391978,Gholamreza Bagheri,Gholamreza Bagheri,,"Gholamreza Bagheri is an actor, known for Ev (2017).",,,,,,,,,0,0,0,0
nm9391979,Sedighe Daryani,Sedighe Daryani,,"Sedighe Daryani is an actress, known for Ev (2017) and Skin (2020).",,,,,,,,,0,0,0,0
nm9391983,Amir Etminan,Amir Etminan,,,,,,,,,,,0,0,0,0
nm9392394,Caterina Piccardo,Caterina Piccardo,,"Caterina Piccardo is known for her work on Correspondences (2015), 5th Dimension (2015) and A Mermaid's Story (2017).",,,,,,,,,0,0,0,0
nm9392408,Gaddo Bacchini,Gaddo Bacchini,,"Gaddo Bacchini is an actor, known for Gli sdraiati (2017).",,,,,,,,,0,0,0,0
nm9392789,Shafqat Khan,Shafqat Khan,,"Shafqat Khan is an actor and writer, known for Parchi (2018) and Janaan (2016).",,,,,,,,,0,0,0,0
nm9392792,Arif Lakhani,Arif Lakhani,,,,,,,,,,,0,0,0,0
nm9393116,Guillermo Pérez,Guillermo Pérez,,,,,,,,,,,0,0,0,0
nm9393187,Angel Genov,Angel Genov,,"Angel Genov is an actor, known for Pod prikritie (2011) and Cat in the Wall (2019).",,,,,,,,,0,0,0,0
nm9393744,Shravan Mukesh,Shravan Mukesh,,"Shravan Mukesh is an actor, known for Kalyanam (2018).",,,,,,,,,0,0,0,0
nm9393746,Summesh Maddhu,Summesh Maddhu,,,,,,,,,,,0,0,0,0
nm9393747,Rajesh Radhakrishnan,Rajesh Radhakrishnan,,,,,,,,,,,0,0,0,0
nm9393748,T.K. Udaya Bhanu,T.K. Udaya Bhanu,,,,,,,,,,,0,0,0,0
nm9393957,Jordhen Suan,Jordhen Suan,,"Jordhen Suan is an actress, known for Die Beautiful (2016), I Love You, LC! (2019) and Verdict (2019).",,,,,,,,,0,0,0,0
nm9394915,Duncan Rome,Duncan Rome,,"Duncan Rome is an actor, known for Ellipsis (2017).",,,,,,,,,0,0,0,0
nm9394916,Paul Anderson,Paul Anderson,,"Paul Anderson is an actor, known for Ellipsis (2017).",,,,,,,,,0,0,0,0
nm9394985,Qian Chen,Qian Chen,,"Qian Chen is an actor, known for Child, Come Back Home (2017).",,,,,,,,,0,0,0,0
nm9394986,Jun Cao,Jun Cao,,"Jun Cao is an actor, known for Child, Come Back Home (2017).",,,,,,,,,0,0,0,0
nm9394988,Qihang Wang,Qihang Wang,,"Qihang Wang is an actor, known for Child, Come Back Home (2017).",,,,,,,,,0,0,0,0
nm9396113,Vitali Daushev,Vitali Daushev,,"Vitali Daushev is an actor, known for Ostrov Obrechyonnyh (2019), Davay razvedyomsya! (2019) and Turetskoe sedlo (2017).",,,,,,,,,0,0,0,0
nm9396162,Ping Yun,Ping Yun,,"Ping Yun is known for her work on The City Will Be Overthrown (2017), What a Beautiful Voice (2017) and Stinging Memories (2015).",,,,,,,,,0,0,0,0
nm9396163,Gang Fang,Gang Fang,,"Gang Fang is an actor and producer, known for Stinging Memories (2015), The City Will Be Overthrown (2017) and The Moment of Change (2017).",,,,,,,,,0,0,0,0
